method,pearson_delta,mae_delta,discrimination_score_l1,discrimination_score_l2,discrimination_score_cosine,overlap_at_50,de_direction_match,de_spearman_lfc_sig
No Graph,0.547272180323489,0.0234296578530441,0.665333044982699,0.6995296280276817,0.748296929065744,0.2316176470588235,0.8327429765069724,0.6375890586059199
Fixed 1-hop,0.5932494178448584,0.0226988175247028,0.7050578503460208,0.7479995674740485,0.8070934256055363,0.2358088235294117,0.8519457683692127,0.6494504453679382
Fixed 2-hop,0.5748984492144219,0.0231552947833038,0.6819852941176471,0.7386867430795847,0.8004163062283737,0.239485294117647,0.8436980117587731,0.6359975930012102
AdaPert (Adaptive),0.6199762656709508,0.0219912411583423,0.7013813797577856,0.7557444852941176,0.8184607482698961,0.2606617647058823,0.8662658381754015,0.674520382532454
