Method,pearson_delta_mean,pearson_delta_std,mae_delta_mean,mae_delta_std,discrimination_score_l1_mean,discrimination_score_l1_std,overlap_at_N_mean,overlap_at_N_std,de_direction_match_mean,de_direction_match_std,de_spearman_lfc_sig_mean,de_spearman_lfc_sig_std
LLM-Init Node,0.5929,0.2572,0.0226,0.0073,0.667,0.2887,0.2318,0.1779,0.856,0.1341,0.6591,0.2418
AdaPert,0.62,0.2547,0.022,0.0076,0.7014,0.2873,0.2454,0.1777,0.8663,0.1346,0.6745,0.2364
